taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
2539,97664057,2011-06-06T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/2539/97664057,"Liu, J., Zapfe, G., Shao, K.-T., Leis, J.L., Matsuura, K., Hardy, G., Liu, M. & Tyler, J. 2015. Balistes vetula (errata version published in 2016). The IUCN Red List of Threatened Species 2015: e.T2539A97664057. Accessed on 29 June 2026.",Balistes vetula,Queen Triggerfish,NT,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,NT,Fishes (not comprehensive),True,False,NT,-61.13817382765677,14.975289348508262,range_polygon,1,2,44,6,35,200,0.7292079885735031,1,Extant,1,Resident,2539,self,6250681.978284018,4558047.232597134,4558047.232597134,,MARINEFISH_PART1.shp,International Union for the Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for the Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
2539,97664057,2011-06-06T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/2539/97664057,"Liu, J., Zapfe, G., Shao, K.-T., Leis, J.L., Matsuura, K., Hardy, G., Liu, M. & Tyler, J. 2015. Balistes vetula (errata version published in 2016). The IUCN Red List of Threatened Species 2015: e.T2539A97664057. Accessed on 29 June 2026.",Balistes vetula,Queen Triggerfish,NT,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,NT,Fishes (not comprehensive),True,False,NT,-24.20560795260424,16.00156115161301,range_polygon,2,2,44,6,4,200,0.2304816815900404,1,Extant,1,Resident,2539,self,6250681.978284018,1440667.6934394608,1440667.6934394608,,MARINEFISH_PART1.shp,International Union for the Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for the Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
2621,21912374,2014-07-15T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/2621/21912374,"Carpenter, K.E., Smith-Vaniz, W.F., de Bruyne, G. & de Morais, L. 2015. Bathygobius burtoni. The IUCN Red List of Threatened Species 2015: e.T2621A21912374. Accessed on 29 June 2026.",Bathygobius burtoni,,EN,Unknown,,150,,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,6.906264054525461,0.8594970690398633,range_polygon,1,1,3,2,2,200,0.8529904961557314,1,Extant,1,Resident,2621,self,130293.27943395654,111138.92907012795,111138.92907012795,,MARINEFISH_PART3.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
2958,121210485,2018-04-30T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/2958/121210485,"Edgar, G., Stuart-Smith, R. & Last, P.R. 2020. Brachionichthys hirsutus. The IUCN Red List of Threatened Species 2020: e.T2958A121210485. Accessed on 29 June 2026.",Brachionichthys hirsutus,Spotted Handfish,CR,Decreasing,950,36,58,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),True,False,CR,147.39533913718827,-42.96962988516051,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,2958,self,153.2632003647482,153.2632003647482,153.2632003647482,,MARINEFISH_PART3.shp,International Union for Conservation of Nature,2019,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
3764,2867119,2011-06-08T01:00:00.000+01:00,2014,https://www.iucnredlist.org/species/3764/2867119,"Shao, K., Leis, J.L., Harwell, H., Jing, L., Matsuura, K. & Hardy, G. 2014. Canthigaster rapaensis. The IUCN Red List of Threatened Species 2014: e.T3764A2867119. Accessed on 29 June 2026.",Canthigaster rapaensis,,EN,Unknown,,28,34179.124,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-135.0000000000054,-23.108806596089728,range_polygon,1,2,2,2,1,200,0.52033182655938,1,Extant,1,Resident,3764,self,70802.52677489052,36840.8080817982,36840.8080817982,,MARINEFISH_PART6.shp,International Union for Conservation of Nature,2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
3764,2867119,2011-06-08T01:00:00.000+01:00,2014,https://www.iucnredlist.org/species/3764/2867119,"Shao, K., Leis, J.L., Harwell, H., Jing, L., Matsuura, K. & Hardy, G. 2014. Canthigaster rapaensis. The IUCN Red List of Threatened Species 2014: e.T3764A2867119. Accessed on 29 June 2026.",Canthigaster rapaensis,,EN,Unknown,,28,34179.124,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-143.8601373952348,-27.617645250683033,range_polygon,2,2,2,2,1,200,0.4796681734406199,1,Extant,1,Resident,3764,self,70802.52677489052,33961.71869309232,33961.71869309232,,MARINEFISH_PART6.shp,International Union for Conservation of Nature,2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
10097,148035632,2021-02-12T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/10097/148035632,"Cadrin, S., González Troncoso, D., Hallfredsson, E. & Munroe, T.A. 2022. Hippoglossus hippoglossus. The IUCN Red List of Threatened Species 2022: e.T10097A148035632. Accessed on 29 June 2026.",Hippoglossus hippoglossus,Atlantic Halibut,NT,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,NT,Fishes (not comprehensive),True,False,NT,-9.28650813369434,62.44963280683582,range_polygon,1,1,183,2,182,200,0.9999989960618452,1,Extant,1,Resident,10097,self,6200149.171283959,6200142.94671764,6200142.94671764,,MARINEFISH_PART9.shp,IUCN Marine Biodiversity Unit/GMSA,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit/GMSA 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
13145,512306,2014-01-07T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/13145/512306,"Collette, B., Grubbs, D., Pezold, F., Simons, J., Caruso, J., Carlson, J., McEachran, J.D., Brenner, J., Tornabene, L., Chakrabarty, P., Robertson, R., Chao, L., Vega-Cendejas, M., Tolan, J., Carpenter, K.E., Munroe, T., Jelks, H. & Espinosa-Perez, H. 2015. Menidia conchorum. The IUCN Red List of Threatened Species 2015: e.T13145A512306. Accessed on 29 June 2026.",Menidia conchorum,Key Silverside,EN,Decreasing,,499,3802,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-81.16135749702174,24.757106115204067,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,13145,self,4135.651683602381,4135.651683602381,4135.651683602381,,MARINEFISH_PART4.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
15184,217446244,2022-09-13T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/15184/217446244,"Bensted-Smith, W., Brandt, M., Domínguez, O., Espinoza, E., Grove, J.S., Keith, I., Rivera, F.E., Suárez, J., Tapia, I. & Tirado-Sánchez, N. 2023. Ogilbia galapagosensis. The IUCN Red List of Threatened Species 2023: e.T15184A217446244. Accessed on 29 June 2026.",Ogilbia galapagosensis,Galápagos Cuskeel,EN,Decreasing,,16-500,600-1050,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-90.36609473802474,-0.7546837500399874,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,15184,self,37.17077409000443,37.17077409000443,37.17077409000443,,MARINEFISH_PART5.shp,IUCN Marine Biodiversity Unit,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
17710,162705687,2021-02-12T00:00:00.000+00:00,2022,https://www.iucnredlist.org/species/17710/162705687,"Cadrin, S., Siskey, M. & Munroe, T.A. 2022. Myzopsetta ferruginea. The IUCN Red List of Threatened Species 2022: e.T17710A162705687. Accessed on 29 June 2026.",Myzopsetta ferruginea,Yellowtail Flounder,VU,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-60.14934942123585,46.78432009665889,range_polygon,1,1,33,1,33,200,1.0,1,Extant,1,Resident,17710,self,1113232.5152981626,1113232.5152981626,1113232.5152981626,,MARINEFISH_PART4.shp,IUCN Marine Biodiversity Unit/GMSA,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN Marine Biodiversity Unit/GMSA 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
19896,177143139,2012-08-21T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/19896/177143139,"Collette, B., Aiken, K.A. & Polanco Fernandez, A. 2020. Sanopus astrifer (amended version of 2015 assessment). The IUCN Red List of Threatened Species 2020: e.T19896A177143139. Accessed on 29 June 2026.",Sanopus astrifer,Whitespotted Toadfish,VU,Unknown,,700,11218,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-87.84595884800761,17.147343071012838,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19896,self,15778.093101981636,15778.093101981636,15778.093101981636,,MARINEFISH_PART4.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
19897,16643885,2012-08-21T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/19897/16643885,"Aiken, K.A., Collette, B. & Polanco Fernandez, A. 2015. Sanopus greenfieldorum. The IUCN Red List of Threatened Species 2015: e.T19897A16643885. Accessed on 29 June 2026.",Sanopus greenfieldorum,Whitelined Toadfish,VU,Unknown,,705,10484,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),True,False,VU,-87.88040870381354,17.004023995544554,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19897,self,14000.15381020155,14000.15381020155,14000.15381020155,,MARINEFISH_PART6.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
19898,2547481,2014-01-09T00:00:00.000+00:00,2015,https://www.iucnredlist.org/species/19898/2547481,"Collette, B.B., Robertson, R., Tornabene, L., Chakrabarty, P., Grubbs, D., Simons, J., Brenner, J., Caruso, J., McEachran, J.D., Pezold, F., Carlson, J., Espinosa-Perez, H. & Vega-Cendejas, M. 2015. Sanopus reticulatus. The IUCN Red List of Threatened Species 2015: e.T19898A2547481. Accessed on 29 June 2026.",Sanopus reticulatus,Reticulated Toadfish,EN,Unknown,,,4386,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),True,False,EN,-90.08164584743392,21.338319822826076,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19898,self,3764.4230642561324,3764.4230642561324,3764.4230642561324,,MARINEFISH_PART1.shp,International Union for Conservation of Nature,2015,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,International Union for Conservation of Nature 2015. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
